Are_PMTCT	Attribute1	Attribute2	Attribute3	Contacts	County	CreationDate	Creator	Deaths	District	Do_facilit	EditDate	Editor	Facility_I	Funding	GOL_facili	GlobalID	HIV_care_a	Head_Docto	Lat	Lon	Patients	Which_cell	X_PROJ	Y_PROJ	a_TB_diagn	beds	facility_n	facility_t	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
Y			0	6551239.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Senjeh	Y	"0000-00-00 00:00:00"	davidjhealy	LR03-000014	"MOHSW only"	Y	61b3afa9-543f-41e9-b845-7291ac74da63	Y	"Dr. Rhoda Peters"	-10.83	6.87	0	Lonestar;Cellcom;Libercell;Comium	297740.18	759454.72	N/A	100	"Liberia Govt"	Hospital	2	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.830400000415,6.8671999998445],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7432	Senjeh	ADM1
N			0	4714867.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Senjeh	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000013	"Faith Based Organization"	N	9032c8cc-766b-46ce-9d70-98092616a10b	N/A	"Moses V. Flomo"	-10.82	6.86	0	Lonestar;Cellcom;Libercell;Comium	298799.69	759019.34	N	N/A	"St. Lukes"	Clinic	3	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.820799999886,6.8632999996826],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7432	Senjeh	ADM1
Y			0	6930262.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Dewoin	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000009	AHA	Y	0b2516a8-0064-4de0-827e-3702cfa9f00b	N/A	"Bendu Harris"	-10.98	6.62	0	None	280549.34	731969.71	Y	N/A	"Beh Town"	Clinic	4	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.984900000271,6.618099999643],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	6972397.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Dewoin	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000006	"MOHSW only"	Y	8f37d027-d73f-4101-ba6f-0565825e8c94	N/A	"Ruth G. Sibley"	-11.03	6.62	0	None	275294.60	731747.59	Y	N/A	Votor	Clinic	5	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.03240000024,6.6159000004175],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	6563510.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Klay	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000015	AHA	Y	8b888c1c-4b48-45c1-9a65-fb04cdd06832	N/A	"Everlyn Doe"	-10.83	6.65	0	Cellcom	297140.35	735224.00	Y	N/A	Gogehn	Clinic	6	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.835000000378,6.6480999995581],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6925	Klay	ADM1
N			0	6572871.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Klay	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000002	AHA	Y	11db48be-dde2-4970-9172-1c4bf29dcaf6	N/A	"Kula Quiqui"	-10.93	6.66	0	Lonestar	287138.11	736843.71	N	N/A	Gohnzipo	Clinic	7	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.925500000212,6.6624000002979],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6925	Klay	ADM1
N			0	6546315.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Klay	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000001	AHA	Y	098fc37a-c0c7-4038-87f9-e082096cde77	N/A	"Evangeline Varney"	-10.97	6.67	0	None	281813.15	738247.38	Y	N/A	Malema	Clinic	8	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.973699999708,6.6748999998024],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6925	Klay	ADM1
N			0	4914203.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Senjeh	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000012	"Faith Based Organization"	N	13beef46-c4c9-4097-a718-240606b9fcfe	N/A	"Nasii Maxmood"	-10.82	6.87	0	Lonestar;Cellcom;Libercell;Comium	298448.33	759640.04	N	N/A	Ahmiddiya	Clinic	9	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.823999999819,6.8689000002213],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7432	Senjeh	ADM1
N			0	77020425.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Senjeh	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000008	"MOHSW only"	Y	7a8b9c3b-6e9d-40ec-99d1-eb532db0d81a	N/A	"Korto D. Morris"	-10.77	6.95	0	None	304991.08	768319.67	N	N/A	"Yomo Town"	Clinic	10	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.765100000356,6.947600000349],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7432	Senjeh	ADM1
Y			0	6407235.00	Bomi	"0000-00-00 00:00:00"	davidjhealy	0	Dewoin	N	"0000-00-00 00:00:00"	davidjhealy	LR03-000007	"MOHSW only"	Y	22ac6e62-946e-47b8-9385-cdd78e5e6aea	N/A	"Edith W. Sahn"	-10.86	6.49	0	Lonestar;Cellcom	294829.97	717569.33	N	N/A	"Bonjeh Town"	Clinic	11	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.855299999651,6.4884000003807],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
