pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level	ndate
2	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41913	10	2014	6500.0	WFP	1	Boke	ADM1	2014-10-01
3	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41883	9	2014	6500.0	WFP	1	Boke	ADM1	2014-09-01
4	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41852	8	2014	6500.0	WFP	1	Boke	ADM1	2014-08-01
5	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41821	7	2014	4000.0	WFP	1	Boke	ADM1	2014-07-01
6	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41791	6	2014	4000.0	WFP	1	Boke	ADM1	2014-06-01
7	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41760	5	2014	6500.0	WFP	1	Boke	ADM1	2014-05-01
8	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41730	4	2014	6500.0	WFP	1	Boke	ADM1	2014-04-01
9	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41699	3	2014	6000.0	WFP	1	Boke	ADM1	2014-03-01
10	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41671	2	2014	7000.0	WFP	1	Boke	ADM1	2014-02-01
11	106	Guinea	40700	Boke	1639	Boke	50	Beans	54	GNF	15	Retail	5	KG	41640	1	2014	7000.0	WFP	1	Boke	ADM1	2014-01-01
12	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41913	10	2014	4000.0	WFP	1	Boke	ADM1	2014-10-01
13	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41883	9	2014	4000.0	WFP	1	Boke	ADM1	2014-09-01
14	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41852	8	2014	4000.0	WFP	1	Boke	ADM1	2014-08-01
15	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41821	7	2014	6500.0	WFP	1	Boke	ADM1	2014-07-01
16	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41791	6	2014	6500.0	WFP	1	Boke	ADM1	2014-06-01
17	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41760	5	2014	4000.0	WFP	1	Boke	ADM1	2014-05-01
18	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41730	4	2014	4000.0	WFP	1	Boke	ADM1	2014-04-01
19	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41699	3	2014	4000.0	WFP	1	Boke	ADM1	2014-03-01
20	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41671	2	2014	2000.0	WFP	1	Boke	ADM1	2014-02-01
21	106	Guinea	40700	Boke	1639	Boke	55	Bread	54	GNF	15	Retail	33	Unit	41640	1	2014	2000.0	WFP	1	Boke	ADM1	2014-01-01
22	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41913	10	2014	20000.0	WFP	1	Boke	ADM1	2014-10-01
23	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41883	9	2014	20000.0	WFP	1	Boke	ADM1	2014-09-01
24	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41852	8	2014	20000.0	WFP	1	Boke	ADM1	2014-08-01
25	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41821	7	2014	20000.0	WFP	1	Boke	ADM1	2014-07-01
26	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41791	6	2014	20000.0	WFP	1	Boke	ADM1	2014-06-01
27	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41760	5	2014	20000.0	WFP	1	Boke	ADM1	2014-05-01
28	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41730	4	2014	20000.0	WFP	1	Boke	ADM1	2014-04-01
29	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41699	3	2014	2000.0	WFP	1	Boke	ADM1	2014-03-01
30	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41671	2	2014	20000.0	WFP	1	Boke	ADM1	2014-02-01
31	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41640	1	2014	20000.0	WFP	1	Boke	ADM1	2014-01-01
32	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41913	10	2014	10000.0	WFP	1	Boke	ADM1	2014-10-01
33	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41883	9	2014	10000.0	WFP	1	Boke	ADM1	2014-09-01
34	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41852	8	2014	9500.0	WFP	1	Boke	ADM1	2014-08-01
35	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41821	7	2014	9000.0	WFP	1	Boke	ADM1	2014-07-01
36	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41791	6	2014	9500.0	WFP	1	Boke	ADM1	2014-06-01
37	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41760	5	2014	9000.0	WFP	1	Boke	ADM1	2014-05-01
38	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41730	4	2014	8000.0	WFP	1	Boke	ADM1	2014-04-01
39	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41699	3	2014	10000.0	WFP	1	Boke	ADM1	2014-03-01
40	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41671	2	2014	9000.0	Government	1	Boke	ADM1	2014-02-01
41	106	Guinea	40700	Boke	1639	Boke	62	Oil (Palm)	54	GNF	15	Retail	15	L	41640	1	2014	9000.0	WFP	1	Boke	ADM1	2014-01-01
42	106	Guinea	40700	Boke	1639	Boke	83	Potatoes	54	GNF	15	Retail	5	KG	41730	4	2014	7000.0	WFP	1	Boke	ADM1	2014-04-01
43	106	Guinea	40700	Boke	1639	Boke	83	Potatoes	54	GNF	15	Retail	5	KG	41699	3	2014	8500.0	WFP	1	Boke	ADM1	2014-03-01
44	106	Guinea	40700	Boke	1639	Boke	83	Potatoes	54	GNF	15	Retail	5	KG	41671	2	2014	9000.0	Government	1	Boke	ADM1	2014-02-01
45	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41913	10	2014	4000.0	WFP	1	Boke	ADM1	2014-10-01
46	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41883	9	2014	4000.0	WFP	1	Boke	ADM1	2014-09-01
47	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41852	8	2014	4000.0	WFP	1	Boke	ADM1	2014-08-01
48	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41821	7	2014	4500.0	WFP	1	Boke	ADM1	2014-07-01
49	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41791	6	2014	4500.0	WFP	1	Boke	ADM1	2014-06-01
50	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41760	5	2014	4000.0	WFP	1	Boke	ADM1	2014-05-01
51	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41730	4	2014	4000.0	WFP	1	Boke	ADM1	2014-04-01
52	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41699	3	2014	4000.0	WFP	1	Boke	ADM1	2014-03-01
53	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41671	2	2014	4000.0	Government	1	Boke	ADM1	2014-02-01
54	106	Guinea	40700	Boke	1639	Boke	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41640	1	2014	4200.0	WFP	1	Boke	ADM1	2014-01-01
55	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41913	10	2014	5500.0	WFP	1	Boke	ADM1	2014-10-01
56	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41883	9	2014	5500.0	WFP	1	Boke	ADM1	2014-09-01
57	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41852	8	2014	5500.0	WFP	1	Boke	ADM1	2014-08-01
58	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41821	7	2014	6000.0	WFP	1	Boke	ADM1	2014-07-01
59	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41791	6	2014	6000.0	WFP	1	Boke	ADM1	2014-06-01
60	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41760	5	2014	5500.0	WFP	1	Boke	ADM1	2014-05-01
61	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41730	4	2014	5500.0	WFP	1	Boke	ADM1	2014-04-01
62	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41699	3	2014	5000.0	WFP	1	Boke	ADM1	2014-03-01
63	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41671	2	2014	5500.0	Government	1	Boke	ADM1	2014-02-01
64	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41640	1	2014	5000.0	WFP	1	Boke	ADM1	2014-01-01
65	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41852	8	2014	1500.0	WFP	1	Boke	ADM1	2014-08-01
66	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41821	7	2014	1500.0	WFP	1	Boke	ADM1	2014-07-01
