ADMINLVL	AGRIC	BUSH_FOOD	CCODE2K4	DCODE_2K4	DRY	FID	FOOD_SEC	HEALTH	HEA_FUNCT	HHLD	IDP	NAME_WS	NAME_WS_1	OID_	POP	P_CODE	P_CODE_1	QC_GEO_WS	RETURN_	SCHOOL	SCH_FUNCT	SIZE	TRAV_TIME	WET	X_COORD	Y_COORD	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
06	P	" "	12	1204	Y	1	" "	Y	Y	120.00	A	Varguay	Varguay	85	600.00	LR0300073	LR0300073	2	P	Y	Y	" "	0.00	Y	-10.96	7.16	227	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.96222,7.15972]}"""	LR	0		
06	A	" "	12	1210	Y	3	" "	Y	Y	81.00	P	Diah	Diah	97	405.00	LR0300083	LR0300083	2	S	Y	Y	" "	0.00	Y	-11.35	6.88	229	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.34833,6.8783300000001]}"""	LR	6241	Deah	ADM1
06	P	" "	12	1210	Y	4	" "	Y	N	42.00	S	Fahnja	Fahnja	98	210.00	LR0300093	LR0300093	1	S	Y	Y	" "	0.00	Y	-11.26	7.02	230	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.26277,7.0175100000001]}"""	LR	6373	Fahnja	ADM1
07	P	" "	12	1210	Y	5	" "	Y	N	18.00	P	Gondama	Gondama	99	90.00	LR0300141	LR0300141	2	S	Y	Y	" "	0.00	Y	-11.36	7.06	231	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.35659,7.0596500000001]}"""	LR	6662	Gondama	ADM1
06	P	" "	12	1210	Y	6	" "	Y	Y	64.00	P	Gonelor	Gonelor	100	320.00	LR0300155	LR0300155	3	S	Y	Y	" "	0.00	Y	-11.23	7.06	232	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.23402,7.06424]}"""	LR	0		
06	S	" "	12	1210	Y	7	" "	Y	Y	120.00	A	Jene-Wonde	Jene-Wonde	101	600.00	LR0300171	LR0300171	2	S	Y	Y	" "	0.00	Y	-11.27	7.08	233	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.27028,7.0802100000001]}"""	LR	0		
07	A	" "	12	1202	Y	8	" "	Y	N	25.00	A	Kanga	Kanga	76	125.00	LR0300196	LR0300196	1	S	Y	Y	" "	0.00	N	-11.07	6.88	234	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.06528,6.8827800000001]}"""	LR	6872	Kanga	ADM1
06	A	" "	12	1206	Y	9	" "	Y	N	68.00	P	Kawelahun	Kawelahun	89	340.00	LR0300200	LR0300200	2	S	Y	Y	" "	0.00	N	-11.03	7.41	235	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.02861,7.4069400000001]}"""	LR	0		
06	P	" "	12	1206	Y	10	" "	Y	N	300.00	P	"Kongo Mano River"	"Kongo Mano River"	90	1500.00	LR0300220	LR0300220	2	S	Y	Y	" "	0.00	Y	-11.14	7.33	236	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.14158,7.3276200000001]}"""	LR	0		
07	P	" "	12	1210	Y	11	" "	Y	Y	18.00	S	Kulangor-gissila	Kulangor-gissila	102	90.00	LR0300237	LR0300237	2	S	Y	Y	" "	0.00	Y	-11.39	6.92	237	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.38806,6.9219400000001]}"""	LR	0		
06	S	" "	12	1204	Y	12	" "	Y	N	115.00	A	"Lofa Bridge"	"Lofa Bridge"	82	575.00	LR0300254	LR0300254	1	P	Y	Y	" "	0.00	Y	-10.88	7.07	238	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.87778,7.0747200000001]}"""	LR	76895	"Lofa Bridge"	PPL
06	A	" "	12	1202	Y	13	" "	Y	Y	75.00	A	Madina	Madina	77	375.00	LR0300259	LR0300259	2	S	Y	Y	" "	0.00	Y	-11.07	6.71	239	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.065,6.7138900000001]}"""	LR	7088	Madina	ADM1
06	P	" "	12	1210	Y	14	" "	Y	N	41.00	P	Mambo	Mambo	103	205.00	LR0300270	LR0300270	2	S	Y	Y	" "	0.00	Y	-11.30	7.00	240	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.29583,6.9997200000001]}"""	LR	7114	Mambo	ADM1
07	S	" "	12	1204	Y	15	" "	Y	N	17.00	A	Mbaloma	Mbaloma	83	85.00	LR0300289	LR0300289	1	P	Y	Y	" "	0.00	Y	-11.00	6.96	241	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.99583,6.9602800000001]}"""	LR	5806	Baloma	ADM1
02	S	" "	12	1208	Y	16	" "	Y	Y	1008.00	P	Robertsport	Robertsport	92	5040.00	LR0300318	LR0300318	1	S	Y	Y	" "	0.00	Y	-11.37	6.75	242	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.36861,6.75333]}"""	LR	20289	Robertsport	ADM1
06	P	" "	12	1208	Y	17	" "	Y	Y	65.00	A	Sembehun	Sembehun	93	325.00	LR0300336	LR0300336	1	S	Y	Y	" "	0.00	Y	-11.34	6.71	243	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.33556,6.7097200000001]}"""	LR	7431	Sembehum	ADM1
06	S	" "	12	1202	Y	18	" "	Y	Y	300.00	P	Sinje	Sinje	78	1500.00	LR0300344	LR0300344	1	S	Y	Y	" "	0.00	Y	-11.14	6.82	244	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.13583,6.8158300000001]}"""	LR	7442	Sinje	ADM1
07	P	" "	12	1210	Y	19	" "	Y	N	19.00	A	Tahn	Tahn	104	95.00	LR0300356	LR0300356	3	S	N	N	" "	0.00	Y	-11.22	6.98	245	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.22452,6.98244]}"""	LR	7491	Tahn	ADM1
06	P	" "	12	1204	Y	20	" "	Y	Y	250.00	A	Tahn	Tahn	84	1250.00	LR0300357	LR0300357	1	P	Y	Y	" "	0.00	Y	-10.90	7.11	246	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.90083,7.1105600000001]}"""	LR	7491	Tahn	ADM1
06	A	" "	12	1208	Y	21	" "	Y	N	45.00	A	Tala	Tala	94	225.00	LR0300360	LR0300360	1	S	Y	Y	" "	0.00	Y	-11.30	6.77	247	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.29778,6.7741700000001]}"""	LR	6139	"Congo Town"	ADM1
06	P	" "	12	1210	Y	22	" "	Y	Y	67.00	P	Tiene	Tiene	105	335.00	LR0300367	LR0300367	1	S	Y	Y	" "	0.00	Y	-11.31	6.97	248	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.31279,6.9675100000001]}"""	LR	73328	Tiene	PPL
06	A	" "	12	1202	Y	23	" "	Y	Y	78.00	A	Vonzua	Vonzua	79	390.00	LR0300392	LR0300392	2	S	Y	Y	" "	0.00	Y	-11.15	6.77	249	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.15,6.7666700000001]}"""	LR	6962	Konia	ADM1
06	P	" "	12	1206	Y	24	" "	Y	N	135.00	P	"Zimmi Dandai"	"Zimmi Dandai"	91	675.00	LR0300423	LR0300423	2	S	Y	Y	" "	0.00	Y	-11.16	7.22	250	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.15834,7.2240300000001]}"""	LR	0		
05	" "	" "	30	3006	Y	25	" "	Y	Y	800.00	S	Banjor	Banjor	296	4000.00	LR0400019	LR0400019	2	P	Y	Y	" "	0.00	Y	-10.80	6.41	251	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.795,6.40722]}"""	LR	0		
05	" "	S	03	0304	" "	26	W	Y	N	400.00	A	Beajojo	Beajojo	7	2000.00	LR0400029	LR0400029	2	S	Y	N	L	9.00	" "	-10.78	6.63	252	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.775,6.6252800000001]}"""	LR	11635	Beajojo	ADM1
06	" "	S	03	0304	" "	27	W	Y	Y	200.00	A	"Fefeh Town"	"Fefeh Town"	8	1000.00	LR0400035	LR0400035	2	S	Y	Y	M	0.00	" "	-10.74	6.65	253	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.74258,6.6541500000001]}"""	LR	76658	"Be Fefe"	PPL
05	" "	U	03	0302	" "	28	U	Y	Y	400.00	A	Beh	Beh	1	2000.00	LR0400052	LR0400052	2	S	Y	Y	L	0.00	" "	-10.99	6.62	254	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.98639,6.6166800000001]}"""	LR	5891	Beh	ADM1
05	" "	S	03	0304	Y	29	W	Y	U	400.00	A	Gbojay	Gbojay	9	2000.00	LR0400147	LR0400147	2	S	Y	Y	L	9.00	Y	-10.69	6.66	255	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.69278,6.6594400000001]}"""	LR	6577	Gbojay	ADM1
05	" "	S	03	0302	" "	30	W	Y	N	400.00	A	Gonjeh	Gonjeh	3	2000.00	LR0400159	LR0400159	2	S	Y	Y	L	2.00	" "	-10.84	6.65	256	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.83667,6.6466700000001]}"""	LR	15397	Gonjeh	ADM1
06	" "	U	03	0302	" "	31	U	Y	N	200.00	A	Gohnzipo	Gohnzipo	2	1000.00	LR0400160	LR0400160	1	S	Y	Y	M	0.00	" "	-10.93	6.66	257	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.925,6.6633300000001]}"""	LR	6639	Gohnzipo	ADM1
07	" "	N	03	0302	" "	32	W	Y	N	30.00	A	"Jenne (3)"	"Jenne (3)"	4	150.00	LR0400184	LR0400184	1	S	N	N	S	2.00	" "	-10.85	6.54	258	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.85248,6.5364000000001]}"""	LR	0		
05	" "	" "	30	3006	Y	33	" "	Y	N	550.00	S	Kenyayai	Kenyayai	298	2750.00	LR0400207	LR0400207	2	P	Y	Y	" "	0.00	Y	-10.80	6.40	259	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.8,6.4000000000001]}"""	LR	0		
06	" "	S	03	0304	Y	34	W	Y	Y	200.00	A	Mecca	Mecca	10	1000.00	LR0400241	LR0400241	2	S	Y	Y	M	6.00	Y	-10.58	6.83	260	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.57861,6.83472]}"""	LR	7082	Macca	ADM1
06	" "	" "	30	3006	Y	35	" "	Y	Y	45.00	P	"Kpallah  Town"	"Kpallah  Town"	299	225.00	LR0400262	LR0400262	2	P	Y	Y	" "	0.00	Y	-10.81	6.43	261	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.81028,6.4258300000001]}"""	LR	0		
06	" "	U	03	0302	Y	36	U	Y	Y	200.00	A	"Be Sali"	"Be Sali"	0	1000.00	LR0400275	LR0400275	2	P	Y	Y	M	2.00	Y	-10.89	6.58	262	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.89167,6.5811100000001]}"""	LR	7410	"Sass Town"	ADM1
05	" "	S	03	0304	" "	37	W	Y	Y	400.00	A	Suehn	Suehn	11	2000.00	LR0400285	LR0400285	1	S	Y	Y	L	10.00	" "	-10.71	6.62	263	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.70667,6.6172200000001]}"""	LR	73443	Suehn	PPL
02	" "	S	03	0302	" "	38	B	Y	Y	2000.00	P	Tubmanburg	Tubmanburg	5	10000.00	LR0400295	LR0400295	1	S	Y	Y	C	4.00	" "	-10.83	6.87	264	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.82806,6.87111]}"""	LR	0		
05	" "	S	03	0302	" "	39	W	Y	Y	400.00	A	Zordee	Zordee	6	2000.00	LR0400334	LR0400334	1	S	Y	N	L	3.00	" "	-10.78	6.68	265	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78222,6.6766700000001]}"""	LR	7803	Zordee	ADM1
