ADMINLVL	AGRIC	BUSH_FOOD	CCODE2K4	DCODE_2K4	DRY	FID	FOOD_SEC	HEALTH	HEA_FUNCT	HHLD	IDP	KINDS_OF_F	NAME_WS	NO__OF_PRO	OID1	OID_	POLICE_STA	POP	P_CODE	P_CODE_1	P_CODE_12	QC_GEO_WS	RETURN_	SCHOOL	SCH_FUNCT	SIZE	STATUS	TRAV_TIME	WET	X_COORD	Y_COORD	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
04	" "	" "	33	3306	Y	1	" "	Y	Y	10000.00	P	2.00	Ganta	3.00	16	22	1.00	50000.00	LR0800170	LR0800170	LR0800170	1	P	Y	Y	" "	Completed	0.00	Y	-8.98	7.24	1	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.9844399999999,7.2350000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6468	Ganta	ADM1
02	" "	" "	33	3306	Y	3	" "	Y	Y	4350.00	P	2.00	Sanniquellie	2.00	19	24	1.00	21750.00	LR0800416	LR0800416	LR0800416	1	S	Y	Y	" "	Planned	0.00	Y	-8.71	7.36	3	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.7061099999999,7.3622200000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	20553	Sanniquellie	ADM1
02	" "	" "	18	1804	Y	4	" "	Y	Y	150.00	S	3.00	Barclayville	3.00	26	30	1.00	750.00	LR1400003	LR1400003	LR1400003	3	A	Y	Y	" "	Planned	0.00	Y	-8.23	4.68	4	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2335299999999,4.6765100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5845	Barclayville	ADM1
02	" "	" "	27	2704	Y	5	" "	Y	Y	15000.00	P	4.00	Harper	6.00	27	31	1.00	75000.00	LR1500055	LR1500055	LR1500055	1	P	Y	Y	" "	Planned	0.00	Y	-7.72	4.38	5	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7172899999999,4.37575],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	10722	Harper	ADM2
02	" "	" "	15	1508	Y	6	" "	Y	Y	14000.00	A	4.00	Zwedru	6.00	23	28	1.00	70000.00	LR1200237	LR1200237	LR1200237	1	P	Y	Y	" "	Planned	0.00	Y	-8.13	6.07	6	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.12889,6.0672200000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
02	" "	" "	42	4204	Y	7	" "	Y	Y	1550.00	P	3.00	"Fish Town"	3.00	25	29	1.00	7750.00	LR1300012	LR1300012	LR1300012	1	S	Y	Y	" "	Planned	0.00	Y	-7.87	5.20	7	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8746599999999,5.1968400000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6404	"Fish Town"	ADM1
06	" "	" "	21	2118	Y	8	" "	N	N	78.00	S	1.00	Bolongolidu	1.00	0	0	1.00	390.00	LR0100071	LR0100071	LR0100071	2	S	N	N	" "	Completed	0.00	Y	-9.66	8.49	8	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.6627799999999,8.4891700000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
06	" "	" "	21	2112	Y	9	" "	N	N	100.00	A	2.00	Kailahun	2.00	1	2	1.00	500.00	LR0100212	LR0100212	LR0100212	1	P	Y	N	" "	"Not Started"	0.00	Y	-10.27	8.02	9	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.27222,8.02056],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	74943	Kailahun	PPL
06	" "	" "	21	2110	Y	10	" "	Y	N	110.00	A	1.00	"Solomba ngeyan"	1.00	2	4	1.00	550.00	LR0100482	LR0100482	LR0100482	2	S	N	N	" "	"Not Started"	0.00	Y	-10.16	8.50	10	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.16056,8.4977800000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
05	" "	" "	21	2120	Y	11	" "	Y	N	800.00	A	1.00	Yella	1.00	3	5	1.00	4000.00	LR0100578	LR0100578	LR0100578	2	S	Y	N	" "	Completed	0.00	Y	-9.40	7.83	11	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4024999999999,7.82583],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7714	Yeala	ADM1
04	" "	" "	21	2120	Y	12	" "	Y	Y	2775.00	A	2.00	Zorzor	2.00	4	6	1.00	13875.00	LR0100600	LR0100600	LR0100600	1	U	Y	Y	" "	Ongoing	0.00	Y	-9.43	7.78	12	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4327799999999,7.7777800000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5650	Zorzor	ADM2
02	" "	" "	45	4508	Y	13	" "	Y	Y	303.00	A	3.00	Bopolu	3.00	5	7	1.00	1515.00	LR0200033	LR0200033	LR0200033	1	P	Y	Y	" "	Ongoing	0.00	Y	-10.49	7.07	13	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.4875,7.06667],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6073	Bopolu	ADM1
02	S	" "	12	1208	Y	14	" "	Y	Y	1008.00	P	2.00	Robertsport	2.00	6	8	1.00	5040.00	LR0300318	LR0300318	LR0300318	1	S	Y	Y	" "	Ongoing	0.00	Y	-11.37	6.75	14	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.36861,6.75333],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	20289	Robertsport	ADM1
06	P	" "	12	1210	Y	15	" "	Y	Y	67.00	P	2.00	Tiene	3.00	7	9	2.00	335.00	LR0300367	LR0300367	LR0300367	1	S	Y	Y	" "	Ongoing	0.00	Y	-11.31	6.97	15	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.31279,6.9675100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	73328	Tiene	PPL
02	" "	S	03	0302	" "	16	B	Y	Y	2000.00	P	3.00	Tubmanburg	3.00	8	11	1.00	10000.00	LR0400295	LR0400295	LR0400295	1	S	Y	Y	C	Planned	4.00	" "	-10.83	6.87	16	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.82806,6.87111],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
02	" "	" "	30	3002	" "	17	" "	" "	" "	0.00	" "	2.00	Bensonville	2.00	9	12	1.00	0.00	LR0500020	LR0500020	LR0500020	9	" "	" "	" "	" "	Completed	0.00	" "	-10.61	6.45	17	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.6125,6.4461100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5927	Bentol	ADM1
01	" "	" "	30	3004	" "	18	" "	" "	" "	0.00	" "	3.00	Monrovia	12.00	10	14	1.00	0.00	LR0500155	LR0500155	LR0500155	9	" "	" "	" "	" "	Ongoing	0.00	" "	-10.80	6.31	18	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80472,6.3105600000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	74188	Monrovia	PPL
05	" "	" "	30	3004	" "	19	" "	" "	" "	0.00	" "	2.00	Paynesville	3.00	11	15	1.00	0.00	LR0500175	LR0500175	LR0500175	9	" "	" "	" "	" "	Ongoing	0.00	" "	-10.71	6.27	19	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.70908,6.26752],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	73912	Paynesville	PPL
05	" "	" "	30	3004	" "	20	" "	" "	" "	0.00	" "	1.00	Westpoint	1.00	12	16	1.00	0.00	LR0500224	LR0500224	LR0500224	9	" "	" "	" "	" "	Ongoing	0.00	" "	-10.81	6.33	20	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80618,6.3271100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
