pos	country_code	source	date	country_code3	region	variable	value	sdr_id	sdr_name	sdr_level
0	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	National	"new non-cases"	0	0		
1	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kailahun	"new non-cases"	0	8626	Kailahun	ADM2
2	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kenema	"new non-cases"	0	8628	Kenema	ADM2
3	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kono	"new non-cases"	0	8630	Kono	ADM2
4	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Kambia	"new non-cases"	0	8627	Kambia	ADM2
5	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Koinadugu	"new non-cases"	0	8629	Koinadugu	ADM2
6	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bombali	"new non-cases"	0	8623	Bombali	ADM2
7	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Tonkolili	"new non-cases"	0	8634	Tonkolili	ADM2
8	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Port Loko"	"new non-cases"	0	8632	"Port Loko"	ADM2
9	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Pujehun	"new non-cases"	0	8633	Pujehun	ADM2
10	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bo	"new non-cases"	0	8625	Bo	ADM2
11	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Moyamba	"new non-cases"	0	8631	Moyamba	ADM2
12	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	Bonthe	"new non-cases"	0	8624	Bonthe	ADM2
13	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 167)"	11/10/14	SLE	"Western area urban"	"new non-cases"	0	149745	"Western Area Urban"	ADM2
