	country_code	country	localite	category	value	date	sources	link	sdr_id	sdr_name	sdr_level	ndate	cum_sum
1	GN	Guinea	Guekedou, Macenta, Nzerekore and Kissidougou	Deaths	59	41722	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf	8	Nzerekore	ADM1	2014-03-24	59
3	GN	Guinea	( Guekedou, Macenta and Kissidougou	Deaths	60	41723	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf	38	Gueckedou	ADM2	2014-03-25	119
5	GN	Guinea	( Guekedou, Macenta and Kissidougou)	Deaths	62	41724	WHO	http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014	38	Gueckedou	ADM2	2014-03-26	181
7	GN	Guinea	( Guekedou, Macenta and Kissidougou)	Deaths	66	41725	WHO	http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014	38	Gueckedou	ADM2	2014-03-27	247
8	GN	Guinea	( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)	Deaths	70	41726	WHO	http://reliefweb.int/report/guinea/situation-de-la-fi-vre-virale-h-morragique-ebola-en-guin-e-au-30-mars-2014	4	Kankan	ADM1	2014-03-28	317
17	GN	Guinea	National	Deaths	80	41729	Ministere de la Sante	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014	0			2014-03-31	397
22	GN	Guinea	National	Deaths	83	41730	Ministere de la Sante	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-2-avril-2014-0	0			2014-04-01	480
24	GN	Guinea	Conakry	Deaths	5	41733	Ministere de la Sante	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	2	Conakry	ADM1	2014-04-04	485
26	GN	Guinea	Dabola and Djingaraye	Deaths	3	41733	Ministere de la Sante	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	14	Dabola	ADM2	2014-04-04	488
28	GN	Guinea	Gueckedou	Deaths	59	41733	Ministere de la Sante	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	38	Gueckedou	ADM2	2014-04-04	547
30	GN	Guinea	Kissidougou	Deaths	5	41733	Ministere de la Sante	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	17	Kissidougou	ADM2	2014-04-04	552
32	GN	Guinea	Macenta	Deaths	14	41733	Ministere de la Sante	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	40	Macenta	ADM2	2014-04-04	566
35	GN	Guinea	National	Deaths	86	41733	Ministere de la Sante	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	0			2014-04-04	652
37	GN	Guinea	Conakry	Deaths	6	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	2	Conakry	ADM1	2014-04-07	658
39	GN	Guinea	Dabola 	Deaths	3	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	14	Dabola	ADM2	2014-04-07	661
41	GN	Guinea	Dinguiraye 	Deaths	1	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	15	Dinguiraye	ADM2	2014-04-07	662
